doc,generator,real_length_ratio,synthetic_length_ratio,real_split_rate,real_merge_rate,synthetic_split_rate,synthetic_merge_rate,real_substitution_prop,real_deletion_prop,real_insertion_prop,synthetic_substitution_prop,synthetic_deletion_prop,synthetic_insertion_prop
Забите на Ветрот - Томе Арсовски,confusion_matrix_noise,0.8611578484989378,1.0132189030827838,0.0005094243504839531,0.0007202206334428302,0.011959647601223353,0.011031481566013907,0.1559480203118423,0.5027031706654487,0.34134880902270903,0.1578620720228156,0.41563738228582403,0.42650054569136037
Провиденија,confusion_matrix_noise,0.9993797085758109,1.0112441918166644,0.0015919510952623536,0.0016556291390728477,0.0024664811535542626,0.0024032380470528714,0.1670785173375847,0.41865284974093264,0.41426863292148264,0.4905274918202857,0.24677998563562364,0.26269252254409065
Сите лица на смртта,confusion_matrix_noise,0.9998682761371246,1.0158361355145828,0.0011915581137029183,0.0019590023225285265,0.010274246422003678,0.009654593427680498,0.08431344078214995,0.45806108126421763,0.45762547795363245,0.33591324576044,0.3226865103729775,0.3414002438665825
Современост 7,confusion_matrix_noise,1.0072236341617344,1.0129846316543571,0.00117407639323732,0.0010436234606553956,0.0022101458696273954,0.001976130424608024,0.09268986441642173,0.4456243481558737,0.46168578742770455,0.2748842542324297,0.355945380158613,0.3691703656089574
Pesni,structure_aware_noise,0.8985899327758649,0.9941383833415314,0.0,0.0012447099825740602,0.06031960387125816,0.05964438442493811,0.06813712066518958,0.4967263312504668,0.43513654808434366,0.1358695652173913,0.43403774001324213,0.43009269476936657
Prezir,structure_aware_noise,1.003435570199068,1.012534822712124,0.0009542602057320308,0.0011321731254447824,0.0020981148998190174,0.0020981148998190174,0.02960983961336876,0.4833444652174801,0.4870456951691512,0.06284548189562954,0.46500377415575456,0.4721507439486159
Samecot,structure_aware_noise,0.9767569086097023,0.9968210784676119,0.001054419776228692,0.0016402085408001874,0.014189500345383375,0.013239696062629518,0.10588546908936801,0.45954865709593684,0.43456587381469514,0.150311262434267,0.42600754531880053,0.42368119224693246
Toj,structure_aware_noise,0.9829753032295777,0.9316089434458571,0.0010955302366345311,0.0006573181419807187,0.0517163504968383,0.04878048780487805,0.07960289908033376,0.4743894268834886,0.4460076740361776,0.09278184598052627,0.47871569968616723,0.4285024543333065
dnevnik_po_mnogu_godini,structure_aware_noise,1.0005126638888282,1.0136783088636314,0.004936403271718372,0.0074946852592512525,0.0011993368372782108,0.0011287876115559632,0.47399644057741747,0.2537077318568321,0.27229582756575044,0.4762971801065099,0.2527282251258621,0.270974594767628
itar_pejo,structure_aware_noise,1.128693039559339,1.0127471909618815,0.001522740933680625,0.0011220196353436186,0.06143234109531966,0.06008981065691403,0.1008962385739496,0.3769357365217219,0.5221680249043286,0.16913444281285692,0.4105006254418883,0.4203649317452548
sina_pesna,structure_aware_noise,1.025261758351338,0.9961774970915739,0.0010826416456153013,0.0007217610970768675,0.03798196815653175,0.03356992135046998,0.028076863634021947,0.47943605859220717,0.4924870777737709,0.18952704830278985,0.4070470432646892,0.40342590843252096
tajnopis,structure_aware_noise,1.1111198448881203,1.0087512445632238,0.0011635423400129282,0.00038784744667097606,0.01892883345561262,0.01599413059427733,0.015751695992267348,0.454167934558863,0.5300803694488696,0.29540226699553807,0.3476706482276973,0.35692708477676466
viktor_kupidon,structure_aware_noise,1.0235472285924452,1.0033317467872442,0.00031357792411414236,0.0002613149367617853,0.03297390217221441,0.029014950252643643,0.6876344086021505,0.051689708141321046,0.2606758832565284,0.10015080328609616,0.4488765971810129,0.4509725995328909
Забите на Ветрот - Томе Арсовски,structure_aware_noise,0.8611578484989378,1.0102596772080525,0.0005094243504839531,0.0007202206334428302,0.005959892357046205,0.005017256320982774,0.1559480203118423,0.5027031706654487,0.34134880902270903,0.1419526155960588,0.42505744797904266,0.4329899364248986
Провиденија,structure_aware_noise,0.9993797085758109,1.0079171741778319,0.0015919510952623536,0.0016556291390728477,0.015085250681371617,0.013437282119541104,0.1670785173375847,0.41865284974093264,0.41426863292148264,0.487723498167128,0.25088651155831526,0.2613899902745567
Сите лица на смртта,structure_aware_noise,0.9998682761371246,1.0111526203901222,0.0011915581137029183,0.0019590023225285265,0.00301764623593597,0.002617957992765643,0.08431344078214995,0.45806108126421763,0.45762547795363245,0.27130316164660845,0.35875998327869574,0.3699368550746958
Современост 7,structure_aware_noise,1.0072236341617344,1.0097182185682365,0.00117407639323732,0.0010436234606553956,0.01392895195031314,0.012629609417634677,0.09268986441642173,0.4456243481558737,0.46168578742770455,0.2381416084941632,0.3764728886803152,0.3853855028255216
